"filename", "language", "Shell Script", "Markdown", "pip requirements", "JavaScript JSX", "Python", "JavaScript", "JSON", "PostCSS", "HTML", "comment", "blank", "total"
"c:\HRMS\hrms_project\core\engines\file_storage_engine.py", "Python", 0, 0, 0, 0, 108, 0, 0, 0, 0, 100, 28, 236
"c:\HRMS\hrms_project\core\engines\import_engine.py", "Python", 0, 0, 0, 0, 700, 0, 0, 0, 0, 46, 61, 807
"c:\HRMS\hrms_project\core\engines\language_engine.py", "Python", 0, 0, 0, 0, 53, 0, 0, 0, 0, 68, 16, 137
"c:\HRMS\hrms_project\core\engines\permission_engine.py", "Python", 0, 0, 0, 0, 26, 0, 0, 0, 0, 11, 8, 45
"c:\HRMS\hrms_project\core\engines\search_engine.py", "Python", 0, 0, 0, 0, 110, 0, 0, 0, 0, 34, 26, 170
"c:\HRMS\hrms_project\core\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\HRMS\hrms_project\core\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\HRMS\hrms_project\core\management\commands\create_tenant.py", "Python", 0, 0, 0, 0, 114, 0, 0, 0, 0, 9, 13, 136
"c:\HRMS\hrms_project\core\management\commands\export_tenant_data.py", "Python", 0, 0, 0, 0, 79, 0, 0, 0, 0, 18, 14, 111
"c:\HRMS\hrms_project\core\management\commands\import_tenant_data.py", "Python", 0, 0, 0, 0, 160, 0, 0, 0, 0, 26, 35, 221
"c:\HRMS\hrms_project\core\management\commands\load_sample_data.py", "Python", 0, 0, 0, 0, 164, 0, 0, 0, 0, 28, 16, 208
"c:\HRMS\hrms_project\core\management\commands\migrate_schemas.py", "Python", 0, 0, 0, 0, 99, 0, 0, 0, 0, 14, 19, 132
"c:\HRMS\hrms_project\core\management\commands\setup_dev.py", "Python", 0, 0, 0, 0, 90, 0, 0, 0, 0, 16, 16, 122
"c:\HRMS\hrms_project\core\middleware\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\HRMS\hrms_project\core\middleware\audit_middleware.py", "Python", 0, 0, 0, 0, 61, 0, 0, 0, 0, 50, 19, 130
"c:\HRMS\hrms_project\core\middleware\language_middleware.py", "Python", 0, 0, 0, 0, 28, 0, 0, 0, 0, 27, 11, 66
"c:\HRMS\hrms_project\core\middleware\tenant_middleware.py", "Python", 0, 0, 0, 0, 27, 0, 0, 0, 0, 21, 10, 58
"c:\HRMS\hrms_project\core\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 90, 0, 0, 0, 0, 1, 7, 98
"c:\HRMS\hrms_project\core\migrations\0002_rolepermission_remove_company_created_on_and_more.py", "Python", 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 6, 60
"c:\HRMS\hrms_project\core\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\HRMS\hrms_project\core\models\__init__.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\HRMS\hrms_project\core\models\audit_log.py", "Python", 0, 0, 0, 0, 79, 0, 0, 0, 0, 4, 5, 88
"c:\HRMS\hrms_project\core\models\base_model.py", "Python", 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 3, 34
"c:\HRMS\hrms_project\core\models\tenant.py", "Python", 0, 0, 0, 0, 101, 0, 0, 0, 0, 8, 9, 118
"c:\HRMS\hrms_project\core\models\user.py", "Python", 0, 0, 0, 0, 226, 0, 0, 0, 0, 12, 21, 259
"c:\HRMS\hrms_project\core\search_views.py", "Python", 0, 0, 0, 0, 42, 0, 0, 0, 0, 4, 8, 54
"c:\HRMS\hrms_project\core\serializers.py", "Python", 0, 0, 0, 0, 70, 0, 0, 0, 0, 15, 22, 107
"c:\HRMS\hrms_project\core\tasks.py", "Python", 0, 0, 0, 0, 25, 0, 0, 0, 0, 8, 8, 41
"c:\HRMS\hrms_project\core\urls.py", "Python", 0, 0, 0, 0, 21, 0, 0, 0, 0, 8, 6, 35
"c:\HRMS\hrms_project\core\urls_search.py", "Python", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"c:\HRMS\hrms_project\core\views.py", "Python", 0, 0, 0, 0, 328, 0, 0, 0, 0, 50, 82, 460
"c:\HRMS\hrms_project\correspondences\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\HRMS\hrms_project\correspondences\apps.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\HRMS\hrms_project\correspondences\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 97, 0, 0, 0, 0, 1, 7, 105
"c:\HRMS\hrms_project\correspondences\migrations\0002_announcement_file_organization_organizationalletter.py", "Python", 0, 0, 0, 0, 62, 0, 0, 0, 0, 1, 6, 69
"c:\HRMS\hrms_project\correspondences\migrations\0003_multi_employee_letters.py", "Python", 0, 0, 0, 0, 58, 0, 0, 0, 0, 1, 6, 65
"c:\HRMS\hrms_project\correspondences\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\HRMS\hrms_project\correspondences\models.py", "Python", 0, 0, 0, 0, 128, 0, 0, 0, 0, 7, 25, 160
"c:\HRMS\hrms_project\correspondences\serializers.py", "Python", 0, 0, 0, 0, 66, 0, 0, 0, 0, 2, 28, 96
"c:\HRMS\hrms_project\correspondences\urls.py", "Python", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\HRMS\hrms_project\correspondences\views.py", "Python", 0, 0, 0, 0, 90, 0, 0, 0, 0, 8, 24, 122
"c:\HRMS\hrms_project\documents\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\HRMS\hrms_project\documents\apps.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\HRMS\hrms_project\documents\engines\__init__.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\HRMS\hrms_project\documents\engines\document_engine.py", "Python", 0, 0, 0, 0, 112, 0, 0, 0, 0, 49, 21, 182
"c:\HRMS\hrms_project\documents\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 54, 0, 0, 0, 0, 1, 7, 62
"c:\HRMS\hrms_project\documents\migrations\0002_alter_document_company_alter_documenttype_company_and_more.py", "Python", 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 6, 50
"c:\HRMS\hrms_project\documents\migrations\0003_add_employee_link.py", "Python", 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 6, 26
"c:\HRMS\hrms_project\documents\migrations\0004_nullable_archive_file.py", "Python", 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 6, 19
"c:\HRMS\hrms_project\documents\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\HRMS\hrms_project\documents\models.py", "Python", 0, 0, 0, 0, 185, 0, 0, 0, 0, 26, 26, 237
"c:\HRMS\hrms_project\documents\serializers.py", "Python", 0, 0, 0, 0, 94, 0, 0, 0, 0, 7, 16, 117
"c:\HRMS\hrms_project\documents\urls.py", "Python", 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 2, 22
"c:\HRMS\hrms_project\documents\views.py", "Python", 0, 0, 0, 0, 101, 0, 0, 0, 0, 16, 19, 136
"c:\HRMS\hrms_project\employees\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
